field,back_field
FundCode,sstock_code
TAAccountID,sholder_ac_no
TransactionAccountID,scust_auth
BusinessCode,lvol0
ContractType,sstatus0
SerialNo,sphone
Version,
SignType,sstatus3
DistributorCode,sbank_code
InvestorName,sall_name
IndividualOrInstitution,sstatus1
CertificateType,sstatus2
CertificateNo,scert_no
TransactionDate,sdate0
TransactionTime,stime0
AcceptMethod,sstatus3
AcceptPlace,semail
NetNo,spager
Notes,snote
SignRiskNotice,sstatus4
RiskMatching,scust_type
ClientRiskRate,scust_type2
AlternationDate,sdate1
CardNo,sbank_acc
TelNo,sphone2
MobileTelNo,sphone3
EmailAddress,semail2
PostCode,sorder0
Address,saddr
ReservedField1,
ReservedField2,
ReservedField3,
ReservedField4,
ReservedField5,
