ID,字段名,类型,长度
1, FundCode ,C ,6
2, TAAccountID ,C ,12
3, TransactionAccountID ,A ,17
4, BusinessCode ,A ,3
5, ContractType ,C ,1
6, SerialNo ,C ,26
7, Version ,C ,3
8, SignType ,C ,1
9, DistributorCode ,C ,9
10, InvestorName ,C ,120
11, IndividualOrInstitution ,A ,1
12, CertificateType ,C ,1
13, CertificateNo ,C ,30
14, TransactionDate ,A ,8
15, TransactionTime ,A ,6
16, AcceptMethod ,C ,1
17, AcceptPlace ,C ,40
18, NetNo ,C ,9
19, Notes ,C ,64
20, SignRiskNotice ,C ,1
21, RiskMatching ,C ,1
22, ClientRiskRate ,C ,1
23, AlternationDate ,A ,8
24, CardNo ,C ,32
25, TelNo ,C ,22
26, MobileTelNo ,C ,24
27, EmailAddress ,C ,40
28, PostCode ,A ,6
29, Address ,C ,120
30, ReservedField1 ,C ,20
31, ReservedField2 ,C ,20
32, ReservedField3 ,C ,30
33, ReservedField4 ,N ,16(二位小数)
34, ReservedField5 ,N ,16(二位小数)
