ID,字段名,类型,长度
4,Address,C,120
5,InstReprIDCode,C,30
6,InstReprIDType,C,1
7,InstReprName,C,20
8,AppSheetSerialNo,A,24
27,CertificateType,C,1
72,CertificateNo,C,30
85,InvestorName,C,120
92,TransactionDate,A,8
93,TransactionTime,A,6
98,IndividualOrInstitution,A,1
101,PostCode,A,6
106,TransactorCertNo,C,30
107,TransactorCertType,C,1
108,TransactorName,C,20
120,TransactionAccountID,A,17
121,DistributorCode,C,9
135,BusinessCode,A,3
19,AcctNoOfFMInClearingAgency,C,28
20,AcctNameOfFMInClearingAgency,C,60
21,ClearingAgencyCode,A,9
23,InvestorsBirthday,A,8
28,DepositAcct,C,19
29,RegionCode,A,4
48,EducationLevel,C,3
49,EmailAddress,C,40
51,FaxNo,C,24
65,VocationCode,C,3
69,HomeTelNo,C,22
73,AnnualIncome,N,8
83,MobileTelNo,C,24
87,BranchCode,C,9
88,OfficeTelNo,C,22
122,AccountAbbr,C,12
124,ConfdentialDocumentCode,C,8
126,Sex,A,1
127,SHSecuritiesAccountID,C,10
128,SZSecuritiesAccountID,C,10
136,TAAccountID,A,12
140,TelNo,C,22
164,TradingMethod,C,8
167,MinorFlag,C,1
169,DeliverType,C,1
170,TransactorIDType,C,1
171,AccountCardID,C,8
84,MultiAcctFlag,A,1
142,TargetTransactionAccountID,A,17
181,AcctNameOfInvestorInClearingAgency,C,60
182,AcctNoOfInvestorInClearingAgency,C,28
183,ClearingAgency,A,9
265,DeliverWay,C,8
522,Nationality,C,3
524,NetNo,C,9
530,Broker,C,12
282,CorpName,C,40
286,CertValidDate,A,8
287,InstTranCertValidDate,A,8
288,InstReprCertValidDate,A,8
289,ClientRiskRate,C,1
290,InstReprManageRange,C,2
291,ControlHolder,C,80
292,ActualController,C,80
293,MarriageStatus,C,1
294,FamilyNum,N,2
295,Penates,N,16(两位小数)
296,MediaHobby,C,1
325,InstitutionType,C,1
334,EnglishFirstName,C,20
335,EnglishFamliyName,C,20
336,Vocation,C,4
337,CorpoProperty,C,2
338,StaffNum,N,16(两位小数)
339,Hobbytype,C,2
340,Province,C,6
341,City,C,6
342,County,C,6
343,CommendPerson,C,40
344,CommendPersonType,C,1
302,AcceptMethod,C,1
60,FrozenCause,A,1
58,FreezingDeadline,A,8
89,OriginalSerialNo,A,20
90,OriginalAppSheetNo,A,24
254,Specification,C,60
1001,AcctNoOfIssuer,C,32
