ID,字段名,类型,长度
8,AppSheetSerialNo,A,24
67,FundCode,C,6
80,LargeRedemptionFlag,A,1
92,TransactionDate,A,8
93,TransactionTime,A,6
120,TransactionAccountID,A,17
121,DistributorCode,C,9
132,ApplicationVol,N,16(两位小数)
134,ApplicationAmount,N,16(两位小数)
135,BusinessCode,A,3
136,TAAccountID,A,12
25,DiscountRateOfCommission,N,5(四位小数)
28,DepositAcct,C,19
29,RegionCode,A,4
37,CurrencyType,A,3
87,BranchCode,C,9
90,OriginalAppSheetNo,A,24
91,OriginalSubsDate,A,8
98,IndividualOrInstitution,A,1
150,ValidPeriod,N,2
195,DaysRedemptionInAdvance,N,5
102,RedemptionDateInAdvance,A,8
89,OriginalSerialNo,A,20
40,DateOfPeriodicSubs,A,8
137,TASerialNO,A,20
191,TermOfPeriodicSubs,N,5
192,FutureBuyDate,A,8
97,TargetDistributorCode,C,9
52,Charge,N,10(两位小数)
141,TargetBranchCode,C,9
142,TargetTransactionAccountID,A,17
152,TargetRegionCode,A,4
123,DividendRatio,N,16(两位小数)
254,Specification,C,60
34,CodeOfTargetFund,C,6
173,TotalBackendLoad,N,16(两位小数)
260,ShareClass,C,1
261,OriginalCfmDate,A,8
264,DetailFlag,C,1
258,OriginalAppDate,A,8
24,DefDividendMethod,A,1
60,FrozenCause,A,1
58,FreezingDeadline,A,8
280,VarietyCodeOfPeriodicSubs,C,5
281,SerialNoOfPeriodicSubs,C,5
299,RationType,C,1
147,TargetTAAccountID,C,12
617,TargetRegistrarCode,C,2
524,NetNo,C,9
297,CustomerNo,C,12
526,TargetShareType,C,1
298,RationProtocolNo,C,20
269,BeginDateOfPeriodicSubs,A,8
270,EndDateOfPeriodicSubs,A,8
271,SendDayOfPeriodicSubs,N,2
530,Broker,C,12
301,SalesPromotion,C,3
302,AcceptMethod,C,1
303,ForceRedemptionType,C,1
327,TakeIncomeFlag,C,1
328,PurposeOfPeSubs,C,40
329,FrequencyOfPeSubs,N,5
395,PeriodSubTimeUnit,C,1
330,BatchNumOfPeSubs,N,16(两位小数)
345,CapitalMode,C,2
346,DetailCapticalMode,C,2
347,BackenloadDiscount,N,5(4位小数)
348,CombineNum,C,6
307,FutureSubscribeDate,A,8
164,TradingMethod,C,8
275,LargeBuyFlag,A,1
392,ChargeType,C,1
393,SpecifyRateFee,N,9(八位小数)
394,SpecifyFee,N,16(两位小数)
289,ClientRiskRate,C,1
9041,RiskDate,A,8
1001,AcctNoOfIssuer,C,32
1004,ClientFitRate,C,5
1005,FitEndDate,A,8
,BuyProvince,A,10
,BuyCity,A,8
